Class,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
9554.404,240,6374.75625,385.95425,820.6,438.004,438.004,946.906,740.952,357.2,18.525,61.954,122.6,912.1212917,2968.953083,374.6895
9927.442,432,10395.28829,712.0824,930,644.844,644.844,1111.29,788.382,449.2,22.674,92.023,182.2,1367.068974,3840.276115,440.9615
6852.109,45,491.9878333,177.14725,113.8,11.583,11.583,538.322,564.943,120.7,6.528,0,16.2,174.8161736,1281.937847,207.7821667
7087.062,102,756.0084444,170.46975,208.8,25.915,25.915,629.367,579.931,132.3,7.2,16.701,28.6,223.6005995,1391.709199,232.3498333
7351.343,99,1047.478625,231.1268333,314.4,60.364,60.364,601.03,586.686,138.8,7.53,12.881,25.5,265.4300382,1517.28541,228.7378333
7908.726,204,1472.4969,193.433625,416.1,113.802,113.802,656.081,612.872,165.6,8.953,17.852,35.3,334.1910438,1718.093088,249.443
8663.268,240,4327.524,481.08075,514,175.336,175.336,725.531,644.537,207.7,11.128,26.034,51.5,631.6422292,2400.201458,277.7383333
9012.58,216,4965.763333,329.6185714,617.5,246.315,246.315,793.671,675.044,249.9,13.273,35.321,69.9,704.8850754,2564.629484,306.1848333
9414.434,252,3897.9934,382.584,714.8,332.058,332.058,848.513,698.909,296,15.575,45.392,89.9,658.8152,2498.978233,332.3815
9498.766,336,5666.455111,771.90925,820.6,438.054,438.054,945.871,740.79,357.1,18.504,61.857,122.5,893.1411968,2921.96406,374.437
9943.213,270,14553.5434,890.10425,930,644.801,644.801,1110.396,788.242,449,22.647,91.917,182,1714.787638,4538.610275,440.7003333
7030.353,30,377.4812,236.481,113.8,11.699,11.699,562.543,568.684,123.6,6.688,0,19.1,171.8146,1299.969033,213.4358333
6997.649,114,734.0793333,452.976,208.8,25.032,25.032,624.597,578.975,131.6,7.155,18.868,28.2,245.7761944,1422.089389,231.5658333
7420.934,171,1396.654667,462.2536667,314.4,60.365,60.365,600.208,586.536,138.8,7.522,12.847,25.4,319.6959445,1637.601222,228.5521667
7920.748,180,2945.0136,257.9116667,416.1,113.794,113.794,655.19,612.71,165.6,8.943,17.809,35.3,460.1804389,1972.261211,249.2586667
8649.181,225,2704.716,481.08125,514,175.288,175.288,724.546,644.354,207.6,11.116,25.977,51.4,495.0305208,2124.877708,277.4988333
9065.613,360,4965.807333,1153.6585,617.5,246.246,246.246,792.556,674.821,249.9,13.259,35.248,69.8,785.4201528,2734.804139,305.9306667
9272.933,315,6496.593,535.6176,714.8,332.152,332.152,847.483,698.736,295.9,15.558,45.312,89.7,893.2503,2944.515933,332.1148333
9532.126,288,10199.608,514.6061667,820.6,438.031,438.031,944.838,740.628,357,18.482,61.761,122.3,1245.323764,3632.161861,374.1681667
9972.976,270,12128.03433,1186.807667,930,644.965,644.965,1109.503,788.103,448.9,22.619,91.811,181.7,1537.284,4188.797166,440.4393333
6918.47,48,405.3735,708.9435,113.8,11.648,11.648,570.474,569.653,124.5,6.73,0,20,215.8975,1367.705833,215.2261667
7076.777,90,656.3076,194.0334286,208.8,24.908,24.908,622.744,578.637,131.4,7.139,19.074,28,215.4959191,1375.137671,231.1656667
7310.53,180,1197.154143,346.6905,314.4,60.363,60.363,599.387,586.387,138.8,7.515,12.813,25.4,294.1060536,1568.189607,228.3836667
8062.765,204,2454.181167,386.8675,416.1,113.802,113.802,654.301,612.548,165.6,8.934,17.767,35.2,431.9252223,1939.619278,249.0583333
8616.099,270,4327.5978,384.8652,514,175.321,175.321,723.564,644.172,207.6,11.105,25.921,51.3,625.89725,2381.313833,277.277
9093.655,324,3724.405125,576.82775,617.5,246.255,246.255,791.444,674.599,249.9,13.246,35.176,69.6,630.7673229,2430.440479,305.6608333
9248.433,357,4331.023667,446.3481667,714.8,332.045,332.045,846.457,698.564,295.8,15.541,45.231,89.6,708.7045695,2571.608306,331.8655
9518.484,336,8499.656667,385.95425,820.6,438.004,438.004,943.809,740.467,356.9,18.461,61.664,122.1,1096.80166,3333.116486,373.9001667
10075.732,405,12128.0705,445.053875,930,645.029,645.029,1108.612,787.964,448.8,22.592,91.705,181.5,1486.612948,4104.814229,440.1955
6946.278,48,778.5525714,281.5688,113.8,11.046,11.046,610.426,575.121,128.8,6.975,0,24.9,215.8529476,1363.207562,224.3703333
7010.411,84,649.1693,678.364,208.8,24.629,24.629,620.37,578.179,131.1,7.118,19.526,27.8,254.4736917,1442.562217,230.6821667
7327.12,99,1676.0282,173.345375,314.4,60.365,60.365,598.568,586.237,138.8,7.508,12.78,25.3,312.7247146,1608.376429,228.1988333
8052.79,120,1840.64625,773.7355,416.1,113.792,113.792,653.415,612.387,165.6,8.925,17.724,35.1,405.9347292,1886.177292,248.8585
8634.014,195,4327.6254,481.082,514,175.304,175.304,722.583,643.99,207.6,11.093,25.865,51.2,627.5538667,2387.837567,277.0551667
9087.687,270,4256.500286,288.4125,617.5,246.333,246.333,790.336,674.376,249.8,13.232,35.103,69.5,646.4521488,2461.072131,305.3911667
9248.933,336,5568.396143,334.761,714.8,332.181,332.181,845.431,698.392,295.8,15.524,45.15,89.4,800.6680119,2755.845191,331.6161667
9550.842,288,8499.636667,1543.8165,820.6,438.067,438.067,942.782,740.306,356.8,18.44,61.568,121.9,1189.165264,3523.493695,373.6326667
9899.504,459,14554.0764,712.0842,930,644.892,644.892,1107.732,787.827,448.7,22.565,91.601,181.3,1715.389133,4533.259433,439.9541667
6845.385,48,1050.623333,199.5701429,113.8,10.4,10.4,634.168,578.057,131.2,7.11,0,27.8,234.2607063,1377.963079,229.7225
6980.396,108,917.2041429,225.9641667,208.8,24.465,24.465,617.954,577.8,130.9,7.101,20.263,27.6,240.8763591,1410.804885,230.2696667
7249.715,90,1047.53225,462.2543333,314.4,60.371,60.371,597.75,586.088,138.8,7.501,12.746,25.2,283.5844653,1537.378764,228.0141667
8067.823,204,1472.5326,309.4942,416.1,113.806,113.806,652.531,612.226,165.5,8.916,17.682,35,343.46615,1763.9593,248.6425
8730.93,150,2704.78675,320.7216667,514,175.328,175.328,721.606,643.808,207.6,11.082,25.809,51.1,475.0974514,2099.294403,276.8341667
8949.727,342,3310.652889,329.6134286,617.5,246.256,246.256,789.231,674.155,249.8,13.218,35.031,69.4,576.9261098,2299.291553,305.1391667
9299.443,336,5568.314143,535.6164,714.8,332.044,332.044,844.398,698.223,295.7,15.507,45.07,89.2,817.2430453,2797.702924,331.3496667
9607.199,240,8499.617,771.90775,820.6,437.99,437.99,941.759,740.146,356.7,18.419,61.472,121.7,1120.691729,3396.218958,373.366
10024.262,405,10395.923,1186.807,930,644.815,644.815,1106.85,787.691,448.5,22.538,91.496,181.1,1403.794583,3931.1345,439.6958333
7022.644,51,732.5655,274.9986,113.8,9.099,9.099,666.257,580.93,133.4,7.245,4.989,32.2,217.9652583,1367.351183,237.5035
7004.08,114,631.0331,451.449,208.8,24.201,24.201,614.503,577.215,130.5,7.074,20.679,27.2,235.9045917,1405.59385,229.5285
7421.311,180,1676.078,173.3455,314.4,60.369,60.369,596.935,585.939,138.8,7.493,12.712,25.2,319.303375,1637.583917,227.8465
7934.85,168,1840.674625,773.736,416.1,113.784,113.784,651.649,612.065,165.5,8.907,17.64,34.9,409.7283021,1874.524104,248.4435
8670.847,150,4327.6996,240.541375,514,175.3,175.3,720.631,643.627,207.5,11.071,25.754,51,603.5353313,2346.397996,276.5971667
9126.761,306,3310.685778,1153.642,617.5,246.337,246.337,788.13,673.935,249.7,13.205,34.959,69.2,642.4692315,2460.154296,304.8548333
9393.95,210,4330.867889,446.3465,714.8,332.138,332.138,843.367,698.053,295.7,15.49,44.989,89.1,696.0824491,2571.350398,331.1165
9439.556,240,10199.5182,441.0898571,820.6,437.99,437.99,940.739,739.987,356.6,18.398,61.376,121.5,1234.649005,3596.45901,373.1
9902.008,270,12128.6355,593.4048333,930,644.825,644.825,1105.967,787.555,448.4,22.511,91.391,180.9,1487.367861,4078.145556,439.454
6995.993,36,1491.3544,194.7758571,113.8,8.435,8.435,672.064,580.955,133.4,7.246,11.382,33.3,274.2622714,1473.393043,239.7245
7026.03,84,676.6253333,450.593,208.8,23.732,23.732,608.51,576.211,129.8,7.027,21.587,26.6,236.4347778,1411.630056,228.2891667
7389.906,153,931.1654444,198.1091429,314.4,60.376,60.376,596.121,585.79,138.7,7.486,12.678,25.1,256.9417989,1507.826098,227.6458333
8028.877,180,1472.5441,515.8243333,416.1,113.809,113.809,650.769,611.904,165.5,8.898,17.598,34.8,358.4629528,1787.859072,248.2448333
8736.76,255,4327.7126,274.9048571,514,175.334,175.334,719.658,643.446,207.5,11.059,25.698,50.9,615.0455381,2380.618576,276.3768333
8945.795,360,4966.073833,769.092,617.5,246.268,246.268,787.032,673.714,249.7,13.191,34.887,69.1,752.7354861,2650.788139,304.604
9410.456,273,5568.193571,669.51975,714.8,332.161,332.161,842.338,697.883,295.6,15.473,44.908,88.9,822.9114434,2828.02172,330.8503333
9485.912,240,8499.583667,441.0894286,820.6,438.025,438.025,939.722,739.828,356.6,18.376,61.281,121.3,1092.869175,3320.868349,372.8511667
9907.758,513,8085.882222,890.10575,930,645.069,645.069,1105.089,787.42,448.3,22.484,91.287,180.7,1195.367164,3495.302495,439.2133333
6982.429,42,756.7278889,333.45875,113.8,6.756,6.756,661.708,578.015,130.8,7.107,25.58,32.8,224.6257199,1372.528606,239.335
7099.342,96,1233.9658,169.11775,208.8,23.94,23.94,609.547,576.425,130.1,7.037,21.312,26.7,260.5737125,1471.860925,228.5201667
7297.498,180,1676.1086,198.1092857,314.4,60.364,60.364,595.308,585.641,138.7,7.479,12.645,25,321.1765738,1621.079981,227.4621667
8019.911,168,2454.259167,193.434125,416.1,113.809,113.809,649.892,611.744,165.5,8.889,17.556,34.8,412.3160243,1894.252215,248.0635
8707.676,165,3606.4515,320.7226667,514,175.299,175.299,718.687,643.265,207.5,11.048,25.642,50.8,551.1428472,2248.191528,276.157
9001.83,198,3310.750333,769.09,617.5,246.297,246.297,785.938,673.495,249.7,13.177,34.816,68.9,601.1633611,2357.244556,304.3376667
9394.963,273,6496.177,669.51925,714.8,332.158,332.158,841.313,697.714,295.5,15.456,44.828,88.8,900.1186042,2980.102875,330.6018333
9488.267,408,5666.376111,1029.208,820.6,438.127,438.127,938.707,739.67,356.5,18.355,61.186,121.1,919.6630093,2975.096352,372.5863333
10018.5,351,10396.227,890.10725,930,645.021,645.021,1104.213,787.286,448.2,22.457,91.183,180.5,1374.267938,3871.809208,438.9731667
6845.191,54,543.6936667,437.5836667,113.8,5.598,5.598,615.36,570.584,124.9,6.769,33.173,27.8,211.5716111,1333.311056,229.7643333
7014.962,102,586.4141,192.8342857,208.8,23.383,23.383,601.383,575.053,129.1,6.975,22.212,25.8,208.1114488,1354.732231,226.7538333
7348.098,90,1676.1396,693.383,314.4,60.366,60.366,594.498,585.492,138.7,7.472,12.611,25,354.8689667,1697.064433,227.2955
8054.943,228,1472.5621,309.4948,416.1,113.813,113.813,649.017,611.584,165.5,8.881,17.514,34.7,345.081575,1765.818817,247.866
8679.59,240,2404.307222,240.54225,514,175.35,175.35,717.719,643.085,207.4,11.037,25.587,50.6,450.4147893,2042.298245,275.9046667
8949.865,270,2979.7061,329.6088571,617.5,246.305,246.305,784.846,673.276,249.6,13.164,34.745,68.8,542.8213298,2232.16416,304.0718333
9404.469,273,7795.3322,382.5821429,714.8,332.072,332.072,840.29,697.546,295.5,15.439,44.747,88.6,984.3316952,3150.37589,330.3536667
9472.622,312,5099.7254,617.5246,820.6,438.133,438.133,937.696,739.513,356.4,18.334,61.091,120.9,830.0041667,2793.434167,372.3223333
10081.231,351,12128.9755,593.4056667,930,645.058,645.058,1103.336,787.152,448,22.43,91.079,180.3,1493.816181,4121.611694,438.7161667
6973.633,45,412.9145556,327.03625,113.8,5.337,5.337,582.833,565.527,121.2,6.55,33.388,24.1,186.9185671,1312.953468,222.2663333
6976.289,66,801.3202857,269.5708,208.8,23.017,23.017,594.393,573.959,128.3,6.925,22.981,25,228.6069238,1390.832848,225.2596667
7319.696,108,1396.802833,462.2553333,314.4,60.381,60.381,593.689,585.343,138.7,7.464,12.577,24.9,313.7410972,1610.255861,227.1121667
7986.975,144,1840.709,221.0678571,416.1,113.813,113.813,648.143,611.424,165.4,8.872,17.472,34.6,361.2844881,1787.11081,247.6518333
8802.51,150,3606.508167,274.9055714,514,175.304,175.304,716.754,642.905,207.4,11.026,25.532,50.5,545.8448949,2253.87129,275.6861667
9137.898,360,3310.814444,576.81375,617.5,246.366,246.366,783.758,673.058,249.6,13.15,34.673,68.7,598.3999328,2374.898699,303.8231667
9351.976,357,6496.054833,892.6923333,714.8,332.101,332.101,839.27,697.378,295.4,15.423,44.667,88.4,925.4405972,3024.104028,330.0896667
9551.977,240,8499.526,1543.81,820.6,438.037,438.037,936.687,739.356,356.3,18.313,60.996,120.8,1184.371833,3515.658333,372.0753333
9994.971,513,12129.16317,1780.217,930,644.927,644.927,1102.466,787.019,447.9,22.404,90.975,180.1,1606.091514,4332.046362,438.4773333
6847.715,33,329.961,217.9458333,113.8,5.304,5.304,551.016,560.64,117.7,6.346,32.625,20.4,166.1701528,1257.954306,214.7878333
6971.841,114,1122.4566,192.5551429,208.8,23.027,23.027,593.577,573.786,128.3,6.918,22.796,25,252.8535619,1438.779957,225.0628333
7418.292,108,1676.1788,693.3835,314.4,60.37,60.37,592.882,585.194,138.7,7.457,12.544,24.8,356.1899417,1711.770717,226.9295
8091.024,204,2103.700143,309.495,416.1,113.811,113.811,647.273,611.265,165.4,8.863,17.43,34.5,395.4706786,1873.021691,247.4551667
8755.428,165,2163.9262,320.7235,514,175.306,175.306,715.792,642.726,207.4,11.014,25.476,50.4,430.5891417,2015.730617,275.468
9123.927,270,3310.834889,769.0823333,617.5,246.284,246.284,782.673,672.84,249.6,13.137,34.602,68.5,606.7781019,2389.604704,303.5586667
9334.483,357,4872.014875,669.51875,714.8,332.145,332.145,838.254,697.211,295.4,15.406,44.587,88.3,771.3984688,2713.326938,329.8596667
9541.33,288,5099.7004,385.9525,820.6,438.074,438.074,935.682,739.2,356.2,18.292,60.901,120.6,808.4396583,2762.27615,371.8125
9979.704,432,14555.1758,508.6337143,930,645.046,645.046,1101.598,786.887,447.8,22.377,90.872,179.9,1695.444626,4508.426586,438.239
6978.848,45,194.1101111,436.812,113.8,5.445,5.445,521.736,556.35,114.7,6.173,29.309,16.8,170.4733426,1295.669185,207.5113333
7095.352,78,657.428125,336.5415,208.8,22.708,22.708,583.693,572.257,127.2,6.849,23.154,23.9,221.9365521,1399.804938,222.8421667
7356.892,171,1197.286857,231.1278333,314.4,60.375,60.375,592.076,585.046,138.7,7.45,12.51,24.8,282.9288909,1555.180282,226.7636667
7939.052,132,2454.309333,309.4952,416.1,113.815,113.815,646.403,611.106,165.4,8.854,17.388,34.4,418.5904611,1894.128589,247.2585
8764.342,165,3091.325286,962.1715,514,175.305,175.305,714.831,642.546,207.4,11.003,25.421,50.3,561.2173155,2278.690631,275.2501667
9022.964,180,4966.3045,1153.6215,617.5,246.326,246.326,781.591,672.623,249.5,13.123,34.532,68.4,769.1539167,2697.786,303.2948333
9414.988,210,5567.962143,382.5822857,714.8,332.111,332.111,837.239,697.044,295.3,15.389,44.508,88.1,793.0955357,2770.407238,329.5966667
9521.684,240,5666.321,385.95225,820.6,437.976,437.976,934.68,739.044,356.1,18.271,60.807,120.4,851.5106042,2845.422208,371.5503333
10065.421,513,7277.5917,1780.22,930,644.946,644.946,1100.727,786.755,447.7,22.35,90.768,179.7,1201.558642,3535.19645,438
6834.512,60,53.0989,189.1938571,113.8,6.181,6.181,473.949,549.713,110.3,5.916,19.388,10.8,133.2100631,1209.464293,195.011
7006.03,114,1060.516,192.3304286,208.8,22.737,22.737,583.962,572.237,127.3,6.848,22.888,23.9,246.5212857,1434.068905,222.8558333
7370.493,126,931.2372222,173.346,314.4,60.377,60.377,591.272,584.898,138.7,7.443,12.477,24.7,252.1022685,1495.975537,226.5816667
8032.095,180,2103.709286,515.8256667,416.1,113.81,113.81,645.537,610.947,165.4,8.845,17.346,34.3,410.4691627,1893.589992,247.0625
8811.262,150,3606.591333,240.543125,514,175.328,175.328,713.874,642.368,207.3,10.992,25.366,50.2,542.6575382,2249.620743,275.0166667
9023.989,252,2979.793,769.0776667,617.5,246.295,246.295,780.513,672.406,249.5,13.11,34.461,68.2,577.4292222,2314.775778,303.0316667
9330.495,273,7795.0988,669.51875,714.8,332.06,332.06,836.228,696.877,295.2,15.372,44.428,88,1007.720213,3185.828758,329.3508333
9575.036,312,7285.254429,441.0878571,820.6,437.981,437.981,933.68,738.889,356,18.25,60.713,120.2,996.8863572,3145.326548,371.2886667
9931.146,270,7277.692,593.406,930,644.936,644.936,1099.863,786.625,447.6,22.323,90.666,179.5,1082.295583,3274.53,437.7628333
6994.84,51,30.5706,222.066,113.8,6.616,6.616,460.882,547.941,109.4,5.85,14.834,8.9,131.5396333,1236.4821,191.3011667
7068.196,114,517.9159,168.225625,208.8,22.643,22.643,579.983,571.677,126.9,6.824,23.23,23.5,198.8617938,1349.963421,222.019
7306.089,135,1197.312286,693.3845,314.4,60.378,60.378,590.47,584.749,138.7,7.436,12.444,24.6,318.2709822,1617.760631,226.3998333
8051.137,156,1636.227444,773.7385,416.1,113.812,113.812,644.672,610.788,165.4,8.836,17.305,34.3,390.915912,1857.835824,246.8835
8646.18,225,2404.413444,641.449,514,175.31,175.31,712.918,642.19,207.3,10.981,25.311,50.1,482.023537,2101.058741,274.8
9055.022,234,3310.908444,288.403625,617.5,246.297,246.297,779.437,672.19,249.5,13.096,34.391,68.1,563.3433391,2292.021845,302.7856667
9323,273,7795.0358,334.759375,714.8,332.094,332.094,835.219,696.711,295.2,15.356,44.349,87.8,979.7015146,3128.781529,329.1058333
9449.39,480,5099.6595,441.0874286,820.6,438.082,438.082,932.683,738.735,355.9,18.23,60.619,120,828.6398274,2788.136488,371.0278333
9981.862,405,10396.75671,445.055375,930,645.143,645.143,1098.999,786.495,447.4,22.297,90.563,179.3,1341.012674,3800.636181,437.509
6880.353,39,52.41333333,224.911,113.8,7.553,7.553,451.45,547.742,109.6,5.843,4.567,7.1,130.9610278,1219.671722,187.717
7009.889,114,522.8006,192.2812857,208.8,22.671,22.671,580.5,571.714,127,6.825,23.174,23.6,201.3364071,1345.073648,222.1355
7319.691,90,838.1319,231.1281667,314.4,60.387,60.387,589.669,584.601,138.7,7.429,12.41,24.6,245.9869222,1475.623011,226.2348333
8070.182,240,2945.23,386.8695,416.1,113.817,113.817,643.809,610.63,165.3,8.827,17.263,34.2,474.6552083,2028.69975,246.6715
8721.098,195,2163.9876,240.543625,514,175.327,175.327,711.965,642.012,207.3,10.97,25.256,50,425.9740188,2001.659371,274.5838333
9092.051,288,3724.791125,576.80575,617.5,246.38,246.38,778.365,671.975,249.4,13.083,34.321,68,626.2500729,2424.254646,302.524
9393.505,399,4330.543556,382.5821429,714.8,332.105,332.105,834.213,696.546,295.1,15.339,44.27,87.7,705.3586416,2592.089283,328.8613333
9461.777,336,7285.092429,1029.197,820.6,438.073,438.073,931.663,738.583,355.8,18.209,60.524,119.8,1047.634536,3228.456572,370.7631667
9943.593,351,9097.368,1780.2285,930,644.866,644.866,1098.146,786.367,447.3,22.27,90.461,179.1,1339.331042,3791.175917,437.274
7036.583,30,49.7385,453.1206667,113.8,8.111,8.111,454.607,548.751,110.4,5.882,0,7.2,149.1434306,1281.892194,187.8066667
7048.678,60,689.4715714,268.9474,208.8,22.448,22.448,569.036,569.889,125.8,6.745,23.176,22.2,215.7467476,1383.057495,219.4743333
7314.289,144,1047.67125,346.6925,314.4,60.382,60.382,588.87,584.453,138.6,7.422,12.377,24.5,277.4791458,1537.905792,226.037
7941.232,156,2945.2582,386.8695,416.1,113.821,113.821,642.949,610.472,165.3,8.819,17.222,34.1,467.560975,1993.21345,246.477
8634.017,255,2404.451333,641.45,514,175.312,175.312,711.015,641.834,207.2,10.959,25.202,49.9,484.3029444,2104.038389,274.3516667
9044.081,180,3310.940222,384.5363333,617.5,246.328,246.328,777.295,671.76,249.4,13.069,34.251,67.8,566.6006296,2297.230926,302.2625
9321.01,420,4330.514556,892.6916667,714.8,332.11,332.11,833.209,696.381,295.1,15.323,44.191,87.5,749.4941852,2668.521037,328.6173333
